pl_name,hostname,ra,dec,sy_dist,X,Y,Z
11 Com b,11 Com,185.1787793,17.7932516,93.1846,-88.36495785761475,-8.00884336609817,28.475644468901386
11 UMi b,11 UMi,229.2745954,71.8239428,125.321,-25.505211604415894,-29.625963254448497,119.06779381201297
14 And b,14 And,352.82415,39.2358367,75.4392,57.97369156207769,-7.298956031050023,47.71634126965185
14 Her b,14 Her,242.6021014,43.8163621,17.9323,-5.954230683777855,-11.487906661216746,12.415414644607335
16 Cyg B b,16 Cyg B,295.4656422,50.5168243,21.1397,5.779530077610701,-12.135759682119696,16.31585992553967
17 Sco b,17 Sco,243.4620874,-11.8377905,124.953,-54.640409763216894,-109.410346445,-25.633063037663355
18 Del b,18 Del,314.6078375,10.8391378,76.222,52.57196068038417,-53.296592146202606,14.333718980832383
1RXS J160929.1-210524 b,1RXS J160929.1-210524,242.3762343,-21.0831403,139.135,-60.19337357234732,-115.02307500970464,-50.04995722567302
24 Boo b,24 Boo,217.1555242,49.8446488,95.9863,-49.332600262608494,-37.385159749107956,73.36221213644909
24 Sex b,24 Sex,155.8684866,-0.9023998,72.0691,-65.76278455147586,29.460533749249294,-1.1350304205226514
24 Sex c,24 Sex,155.8684866,-0.9023998,72.0691,-65.76278455147586,29.460533749249294,-1.1350304205226514
2M0437 b,2MASS J04372171+2651014,69.3405531,26.8502997,128.484,40.44365463267619,107.26056143007777,58.03120727382231
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,15.8992489,-55.2658291,,,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,20.7128012,-24.6646128,33.8281,28.75483294795686,10.87288836481269,-14.116664986866242
2MASS J02192210-3925225 b,2MASS J02192210-3925225,34.8427046,-39.4230767,,,,
2MASS J0249-0557 c,2MASS J0249-0557 A,42.4851627,-5.9599921,66.0613,48.45372203907569,44.37657819190281,-6.859408591702856
2MASS J03590986+2009361 b,2MASS J03590986+2009361,59.7911026,20.1599759,117.435,55.4678283289817,95.269238483515,40.47309531327895
2MASS J04414489+2301513 b,2MASS J04414489+2301513,70.4371079,23.0308544,,,,
2MASS J11011926-7732383 b,2MASS J11011926-7732383,165.3295388,-77.5440912,,,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,178.7691634,-79.3197558,100.862,-18.688219161797107,0.4015249176595635,-99.1147430320088
2MASS J12073346-3932539 b,2MASS J12073346-3932539,181.8890906,-39.5484399,64.308,-49.56008347843912,-1.6346304859121388,-40.946855468822925
2MASS J19383260+4603591 b,2MASS J19383260+4603591,294.6359173,46.0664076,396.332,114.62756956149552,-249.95422848682946,285.41628927231596
2MASS J21252752-8138278 b,2MASS J21252752-8138278,321.3662989,-81.6414894,34.1154,3.8739276795501567,-3.0962483070422064,-33.753021315354175
2MASS J22362452+4751425 b,2MASS J22362452+4751425,339.1025931,47.861683,69.5737,43.608085014673456,-16.650047013057964,51.590799446276975
30 Ari B b,30 Ari B,39.2412736,24.6480103,44.657,31.43508768863432,25.675561202339804,18.623868232802064
