X,Y,Z,Normalized Luminosity,Normalized Radius
977.9254050619286,-266.54977971224287,-32.8746977216407,0.4145,0.3618
106.27603295630684,-977.1946182652562,-209.87198170899512,0.4197,0.4369
213.91308902149353,277.44338513125604,-746.2220063449694,0.5241,0.4549
-222.52261949162767,-333.57376009442135,-987.1886745153881,0.3848,0.2853
381.84119067261486,-423.1418396918194,214.98470648402395,0.6483,0.875
-97.55597956979443,395.63780014013605,956.6845506088157,0.3996,0.8659
-979.3469771805512,-950.3991276996584,-633.1609350015464,0.1314,0.1169
-297.97158701958006,0.11488241726294746,177.26102663397,0.7998,0.5571
-890.4669228805504,680.9303596321847,643.3604242956078,0.2538,0.153
-718.3875639137386,50.79485000058003,726.515016068781,0.4094,0.4653
565.2116366010116,-737.1061957467764,-859.7279089706137,0.2693,0.5054
416.25365224151733,-373.59539154946833,-978.6957878167519,0.3492,0.1694
-534.8453473501818,468.8673906126123,126.01410380021503,0.583,0.3794
871.2209698009251,-672.4059583722412,-493.878952298666,0.3036,0.4348
276.36293509551683,389.87449265985424,863.5788971008492,0.4302,0.3461
-533.0278538471389,984.5422886287927,-285.20906580213045,0.333,0.6141
-194.4203986146349,-568.8554168203841,-714.1237056987188,0.4611,0.5662
179.97283160386814,-480.0307176150951,-361.6029496933244,0.6378,0.3625
481.859117446503,690.7020361749505,617.9337697318263,0.3969,0.9557
596.4076623975768,-522.4075561935483,-222.39723446235462,0.5246,0.2003
-906.2726701101202,802.9209303223797,433.5813892933054,0.2575,0.6407
434.68417839298945,805.974015977753,-222.67434085737705,0.4559,0.8458
-565.4640735888952,-928.4921496601373,929.0028098593266,0.1744,0.9447
-57.574688237042665,644.2432396101372,385.2664341347179,0.5653,0.2671
483.2284022233655,74.37816634250225,-236.60076436922645,0.6864,0.1475
180.4144077705787,233.06757117181314,377.84317000823853,0.7233,0.9847
212.29066338951975,-15.453039126587896,-469.2144451775,0.7025,0.8938
-957.0757767958182,-211.8459684983451,299.5812873641562,0.4082,0.3644
-505.7570956303745,949.4656256575461,-435.64326346217604,0.3299,0.5629
514.576825901742,962.4160888982512,997.6514406627603,0.1463,0.3068
192.18123253636986,820.5236411813148,933.3238899066057,0.274,0.1943
-914.4405139278801,179.99068633822912,-442.7028277640825,0.4043,0.3131
260.12290399864946,754.5325860366647,324.22692315255676,0.5026,0.1162
786.1842579185006,487.38325769674293,-729.6175906323024,0.3198,0.3293
-279.5164434360497,218.1412246542743,-448.76354308793736,0.6698,0.5473
967.8657320453406,-796.215037478278,-454.1086051329089,0.2304,0.3425
-378.6705727429452,-51.847547282326104,954.4342098251961,0.4064,0.2403
325.9576814618015,-493.7906244804309,-595.8192326869496,0.5152,0.4227
846.3009167983578,14.79044411356847,747.016690385052,0.3482,0.8449
-735.7599621669198,-956.775916348505,-144.56377623661012,0.2982,0.4939
450.74267933621195,143.02632945294317,284.88223006399517,0.6813,0.7522
827.311894348275,-416.0656288755298,646.2834505759504,0.348,0.8628
831.3801755703828,750.1294518060577,919.468814213257,0.1635,0.8111
-566.0897130600599,-297.75823574300284,-752.7747395273914,0.4297,0.6866
-755.9914517343469,-692.3097548961643,-261.5700729011969,0.3892,0.6468
-926.5130676474924,-988.2904068649665,-570.9374038846156,0.1513,0.6938
-469.64786502274274,-558.3274411952375,-213.75864712320515,0.5611,0.2355
-129.4289741111112,710.5924244179623,-503.0012773298735,0.4918,0.2786
-514.785485492466,841.0551813284617,337.9361232459903,0.3982,0.815
187.71507812044683,592.896849145533,501.3075303149651,0.5388,0.9162
993.6055878695975,-306.41584947736476,485.4498180832104,0.3375,0.3671
74.10129025893434,928.151544621109,376.35709681927915,0.4202,0.4899
551.2256874809241,-892.3229895236304,75.18814207171204,0.3929,0.2273
-190.03025557780904,330.8745827001828,-31.463267190157353,0.779,0.2246
442.21152387332836,339.19171732567247,259.74195694739683,0.645,0.7776
-21.122643757651304,313.3981289126741,98.29912497008354,0.81,0.2054
366.0820626812326,100.80806672136828,877.6425192349916,0.4479,0.809
