X,Y,Z,Normalized Luminosity,Normalized Radius
171.10676,-492.69487,575.77943,0.00007,0.02068
412.87913,-1189.38194,1389.63311,0.00000,0.00319
561.70228,-1619.12403,1892.02635,0.00000,0.00082
300.53785,-866.65140,1012.96790,0.00001,0.00540
1212.88688,-3494.66823,4084.81337,0.00000,0.00040
454.12239,-1308.44056,1529.64981,0.00000,0.00291
1472.58557,-4242.95848,4962.23900,0.00000,0.00031
2307.60440,-6648.57438,7776.44184,0.00000,0.00017
351.70691,-1012.22776,1183.54443,0.00001,0.00297
264.90708,-762.61237,891.97152,0.00001,0.00897
2251.19878,-6494.22372,7592.38224,0.00000,0.00019
979.53716,-2826.23607,3304.72075,0.00000,0.00063
574.22878,-1654.95946,1935.89549,0.00000,0.00192
1335.22616,-3855.87018,4505.34728,0.00000,0.00047
88.80507,-255.66560,299.10131,0.05690,0.69350
1216.39408,-3514.92941,4108.64551,0.00000,0.00037
307.87226,-888.23231,1038.38130,0.00001,0.00396
778.63597,-2248.11596,2627.86613,0.00000,0.00102
158.06354,-455.69870,533.03651,0.00002,0.00432
1164.55191,-3365.81689,3935.66091,0.00000,0.00054
778.81312,-2249.05288,2631.19353,0.00000,0.00098
1144.47911,-3303.06334,3862.46034,0.00000,0.00046
708.50960,-2045.66736,2392.91411,0.00000,0.00073
506.49433,-1462.44088,1710.76920,0.00000,0.00153
199.39639,-574.71198,672.61988,0.00004,0.01777
970.27818,-2801.17503,3278.14294,0.00000,0.00050
329.60391,-951.13054,1112.96114,0.00001,0.00427
181.84202,-524.99572,614.35753,0.00005,0.01394
1440.77902,-4163.91111,4871.57127,0.00000,0.00026
591.89416,-1710.04064,2001.35751,0.00000,0.00109
359.02908,-1037.53743,1214.36632,0.00000,0.00318
604.70704,-1748.22800,2047.01091,0.00000,0.00084
771.53817,-2220.42975,2597.16628,0.00000,0.00086
1416.22576,-4078.32617,4773.92223,0.00000,0.00036
833.33899,-2397.62976,2806.32380,0.00000,0.00069
367.51500,-1057.40251,1237.50893,0.00000,0.00490
977.92924,-2815.98981,3296.95485,0.00001,0.00070
1083.02279,-3120.53698,3652.19665,0.00000,0.00059
176.60420,-508.28035,594.94469,0.00000,0.01352
607.14110,-1749.79237,2047.54644,0.00005,0.00110
804.48908,-2318.60161,2713.48966,0.00000,0.00104
504.25834,-1453.24047,1701.25029,0.00000,0.00175
686.00892,-1976.90157,2315.29489,0.00000,0.00106
2798.43834,-8061.24881,9435.36399,0.00000,0.00011
690.08139,-1988.89251,2328.34398,0.00000,0.00097
543.13267,-1565.59338,1833.01197,0.00000,0.00105
289.02672,-832.75331,975.16641,0.00000,0.00231
432.24508,-1245.66651,1458.82194,0.00001,0.00155
2125.07180,-6118.09632,7165.69010,0.00000,0.00020
524.25359,-1508.54175,1766.45235,0.00000,0.00118
1111.99212,-3199.79700,3748.84217,0.00000,0.00058
359.84772,-1036.14866,1213.87518,0.00000,0.00388
838.23676,-2414.84024,2829.83394,0.00001,0.00110
266.02848,-767.32724,898.39974,0.00000,0.00568
2088.73338,-6029.88176,7060.51027,0.00001,0.00007
1264.81326,-3648.65579,4272.41500,0.00000,0.00042
299.17776,-863.54303,1011.43172,0.00000,0.00431
395.82491,-1142.68277,1337.82866,0.00001,0.00525
2114.05720,-6104.44520,7150.26884,0.00000,0.00027
1370.02621,-3957.41425,4637.41785,0.00000,0.00044
819.50654,-2361.70169,2767.18645,0.00000,0.00071
486.00436,-1400.63743,1640.94651,0.00000,0.00112
316.51893,-912.31284,1069.12304,0.00000,0.00179
448.98164,-1294.11087,1516.61852,0.00000,0.00262
633.07375,-1824.67394,2138.96824,0.00000,0.00091
405.86067,-1171.25305,1372.78551,0.00000,0.00144
130.21475,-375.14804,439.64335,0.00000,0.04990
187.40655,-540.23949,632.97347,0.00027,0.00820
1139.01212,-3286.30318,3852.54847,0.00003,0.00048
1142.14878,-3297.56587,3866.35721,0.00000,0.00044
1666.08630,-4810.51349,5641.48289,0.00000,0.00009
2345.77377,-6769.39366,7938.42791,0.00000,0.00000
630.28623,-1811.76822,2123.30290,0.00000,0.00117
656.04729,-1886.58581,2210.62093,0.00000,0.00110
728.54781,-2096.33041,2457.27842,0.00000,0.00102
817.98233,-2354.25711,2760.17956,0.00000,0.00085
697.16868,-2007.04656,2353.44809,0.00000,0.00105
186.63976,-537.09435,629.54570,0.00000,0.01834
175.92896,-506.07004,593.37793,0.00005,0.02379
606.22079,-1745.49415,2047.19274,0.00006,0.00138
